iter	Passed	Remaining
0	60	72431
1	124	74297
2	185	74102
3	240	71909
4	298	71310
5	356	70874
6	413	70551
7	471	70208
8	529	70015
9	590	70212
10	648	70068
11	706	69904
12	765	69897
13	826	69982
14	884	69911
15	942	69736
16	1004	69892
17	1061	69732
18	1124	69904
19	1180	69662
20	1242	69762
21	1300	69640
22	1356	69442
23	1416	69432
24	1479	69516
25	1543	69709
26	1602	69625
27	1660	69514
28	1715	69266
29	1774	69219
30	1833	69147
31	1891	69053
32	1954	69126
33	2015	69110
34	2068	68846
35	2125	68724
36	2185	68704
37	2243	68600
38	2297	68405
39	2355	68302
40	2410	68130
41	2462	67907
42	2520	67827
43	2576	67699
44	2643	67844
45	2704	67859
46	2760	67716
47	2819	67666
48	2875	67555
49	2931	67419
50	2990	67367
51	3053	67407
52	3109	67284
53	3166	67201
54	3224	67132
55	3284	67097
56	3338	66954
57	3393	66818
58	3451	66739
59	3504	66589
60	3560	66475
61	3613	66318
62	3669	66218
63	3726	66146
64	3785	66102
65	3843	66040
66	3904	66029
67	3964	65992
68	4022	65937
69	4079	65849
70	4137	65796
71	4193	65696
72	4253	65665
73	4311	65604
74	4372	65589
75	4428	65500
76	4486	65438
77	4541	65332
78	4597	65239
79	4657	65200
80	4715	65147
81	4770	65044
82	4826	64948
83	4880	64845
84	4935	64748
85	4994	64699
86	5050	64609
87	5109	64563
88	5167	64512
89	5230	64508
90	5290	64475
91	5353	64470
92	5415	64460
93	5477	64445
94	5538	64425
95	5594	64341
96	5652	64274
97	5710	64215
98	5767	64144
99	5812	63939
100	5854	63703
101	5914	63672
102	5973	63616
103	6027	63516
104	6088	63490
105	6146	63435
106	6205	63389
107	6259	63289
108	6312	63183
109	6371	63139
110	6431	63094
111	6488	63034
112	6547	62984
113	6607	62940
114	6662	62855
115	6710	62712
116	6758	62561
117	6810	62444
118	6863	62346
119	6918	62267
120	6974	62189
121	7026	62090
122	7080	62001
123	7137	61932
124	7188	61817
125	7243	61742
126	7294	61627
127	7347	61532
128	7397	61413
129	7450	61324
130	7502	61220
131	7552	61103
132	7603	60995
133	7658	60922
134	7716	60873
135	7774	60820
136	7832	60771
137	7892	60736
138	7955	60721
139	8016	60693
140	8076	60659
141	8138	60634
142	8192	60558
143	8250	60501
144	8309	60456
145	8371	60433
146	8434	60417
147	8494	60381
148	8553	60334
149	8614	60303
150	8673	60252
151	8727	60172
152	8782	60098
153	8842	60063
154	8896	59979
155	8962	59980
156	9020	59924
157	9074	59844
158	9133	59797
159	9194	59766
160	9253	59716
161	9310	59653
162	9367	59598
163	9426	59546
